url,store,price_color,merchant_domain,name,affiliate_url
https://www.mercadolivre.com.br/notebook-asus-vivobook-go-15-e1504-amd-ryzen-5-7520u-8gb-ram-256gb-ssd-linux-keepos-156-fhd-black-e1504fa-nj731/p/MLB36772633#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=1&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB3746267799&sid=offers,ML,#FFD700,Afiliado,Notebook Asus Vivobook Go 15 E1504 Amd Ryzen 5 7520U 8Gb Ram 256Gb Ssd Linux Keepos 156 Fhd Black E1504Fa Nj731,https://www.mercadolivre.com.br/notebook-asus-vivobook-go-15-e1504-amd-ryzen-5-7520u-8gb-ram-256gb-ssd-linux-keepos-156-fhd-black-e1504fa-nj731/p/MLB36772633#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=1&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB3746267799&sid=offers
https://www.mercadolivre.com.br/creatina-monohidratada-pura-500g-dark-lab-unidade/p/MLB26796581#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=2&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB4812143184&sid=offers,ML,#FFD700,Afiliado,Creatina Monohidratada Pura 500G Dark Lab Unidade,https://www.mercadolivre.com.br/creatina-monohidratada-pura-500g-dark-lab-unidade/p/MLB26796581#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=2&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB4812143184&sid=offers
https://www.mercadolivre.com.br/smart-tv-weyon-32wdsnmx-32-hd-led/p/MLB23537280#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=3&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB5745750570&sid=offers,ML,#FFD700,Afiliado,Smart Tv Weyon 32Wdsnmx 32 Hd Led,https://www.mercadolivre.com.br/smart-tv-weyon-32wdsnmx-32-hd-led/p/MLB23537280#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=3&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB5745750570&sid=offers
https://www.mercadolivre.com.br/oneblade-rosto-e-corpo-philips-qp282410/p/MLB26000295#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=5&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB3516665761&sid=offers,ML,#FFD700,Afiliado,Oneblade Rosto E Corpo Philips Qp282410,https://www.mercadolivre.com.br/oneblade-rosto-e-corpo-philips-qp282410/p/MLB26000295#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=5&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB3516665761&sid=offers
https://www.mercadolivre.com.br/hipercalorico-dark-mass-3kg-dark-lab-sabor-baunilha/p/MLB19451614#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=9&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB4825382288&sid=offers,ML,#FFD700,Afiliado,Hipercalorico Dark Mass 3Kg Dark Lab Sabor Baunilha,https://www.mercadolivre.com.br/hipercalorico-dark-mass-3kg-dark-lab-sabor-baunilha/p/MLB19451614#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=9&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB4825382288&sid=offers
https://www.mercadolivre.com.br/celular-samsung-galaxy-a16-128gb-4gb-ram-cmera-50mp-tela-67-nfc-preto/p/MLB44372580#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=10&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB5313884566&sid=offers,ML,#FFD700,Afiliado,Celular Samsung Galaxy A16 128Gb 4Gb Ram Cmera 50Mp Tela 67 Nfc Preto,https://www.mercadolivre.com.br/celular-samsung-galaxy-a16-128gb-4gb-ram-cmera-50mp-tela-67-nfc-preto/p/MLB44372580#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=10&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB5313884566&sid=offers
https://www.mercadolivre.com.br/smart-tv-philips-50-4k-50pug7300-comando-de-voz-bluetooth/p/MLB57723340#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=11&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB5898180968&sid=offers,ML,#FFD700,Afiliado,Smart Tv Philips 50 4K 50Pug7300 Comando De Voz Bluetooth,https://www.mercadolivre.com.br/smart-tv-philips-50-4k-50pug7300-comando-de-voz-bluetooth/p/MLB57723340#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=11&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB5898180968&sid=offers
https://www.mercadolivre.com.br/huggies-fralda-descartavel-maxima-proteco-g-136-un/p/MLB17336383#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=12&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB4148481832&sid=offers,ML,#FFD700,Afiliado,Huggies Fralda Descartavel Maxima Proteco G 136 Un,https://www.mercadolivre.com.br/huggies-fralda-descartavel-maxima-proteco-g-136-un/p/MLB17336383#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=12&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB4148481832&sid=offers
https://www.mercadolivre.com.br/aspirador-de-po-vertical-e-portatil-wap-high-speed-plus-1350w-3-em-1/p/MLB22511808#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=13&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB3658803458&sid=offers,ML,#FFD700,Afiliado,Aspirador De Po Vertical E Portatil Wap High Speed Plus 1350W 3 Em 1,https://www.mercadolivre.com.br/aspirador-de-po-vertical-e-portatil-wap-high-speed-plus-1350w-3-em-1/p/MLB22511808#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=13&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB3658803458&sid=offers
https://www.mercadolivre.com.br/creatina-monohidratada-250g-growth-supplements-sem-sabor-em-po/p/MLB19603205#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=15&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB5872060016&sid=offers,ML,#FFD700,Afiliado,Creatina Monohidratada 250G Growth Supplements Sem Sabor Em Po,https://www.mercadolivre.com.br/creatina-monohidratada-250g-growth-supplements-sem-sabor-em-po/p/MLB19603205#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=15&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB5872060016&sid=offers
